,id,reading_time,pm25,co,latitude,longitude,nitrogen
100,10501451,2023-10-09 08:00:01.000,279.0,0.0,51186586N,00156474W,0.0
101,10501452,2023-10-09 08:01:01.000,283.0,0.0,51186586N,00156474W,0.0
102,10501453,2023-10-09 08:02:01.000,292.0,0.0,51186586N,00156474W,0.0
104,10501461,2023-10-09 08:05:01.000,293.0,0.0,51186586N,00156474W,0.0
105,10501462,2023-10-09 08:06:01.000,299.0,0.0,51186586N,00156474W,0.0
106,10501465,2023-10-09 08:09:01.000,310.0,0.0,51186586N,00156474W,0.0
107,10501468,2023-10-09 08:03:07.000,10.0,0.0,51326598N,00010503W,0.0
108,10501469,2023-10-09 08:04:07.000,11.0,0.0,51326598N,00010503W,0.0
109,10501470,2023-10-09 08:05:09.000,10.0,0.0,51326598N,00010503W,0.0
113,10501476,2023-10-09 08:10:01.000,305.0,0.0,51186586N,00156474W,0.0
114,10501477,2023-10-09 08:11:01.000,319.0,0.0,51186586N,00156474W,0.0
115,10501482,2023-10-09 08:07:02.000,10.0,0.0,51326598N,00010503W,0.0
116,10501485,2023-10-09 08:10:04.000,10.0,0.0,51326598N,00010503W,0.0
120,10501491,2023-10-09 08:15:01.000,336.0,0.0,51186586N,00156474W,0.0
121,10501492,2023-10-09 08:16:01.000,341.0,0.0,51186586N,00156474W,0.0
122,10501494,2023-10-09 08:18:01.000,354.0,0.0,51186586N,00156474W,0.0
123,10501499,2023-10-09 08:14:08.000,11.0,0.0,51326598N,00010503W,0.0
128,10501508,2023-10-09 08:22:01.000,353.0,0.0,51186586N,00156474W,0.0
129,10501510,2023-10-09 08:24:01.000,360.0,0.0,51186586N,00156474W,0.0
130,10501512,2023-10-09 08:17:09.000,11.0,0.0,51326598N,00010503W,0.0
131,10501513,2023-10-09 08:18:09.000,10.0,0.0,51326598N,00010503W,0.0
132,10501514,2023-10-09 08:19:08.000,10.0,0.0,51326598N,00010503W,0.0
133,10501515,2023-10-09 08:20:08.000,10.0,0.0,51326598N,00010503W,0.0
134,10501516,2023-10-09 08:25:01.000,357.0,0.0,51186586N,00156474W,0.0
135,10501517,2023-10-09 08:26:01.000,365.0,0.0,51186586N,00156474W,0.0
